종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"013720","THE CUBE&","KOSDAQ","중견기업부","1182","-3","-0.25","1175","1220","1144","195710","231711707","71898865026","60828143"
"089230","THE E&M","KOSDAQ","중견기업부","1100","-23","-2.05","1154","1154","1050","53995","59008799","26964248300","24512953"
"032540","TJ미디어","KOSDAQ","우량기업부","5990","0","0.00","6050","6190","5950","1149","6907190","83450337910","13931609"
"069260","TKG휴켐스","KOSPI",,"17490","-30","-0.17","17520","17540","17410","25140","439015620","714966504120","40878588"
"007980","TP","KOSPI",,"1862","20","1.09","1862","1967","1852","3188840","6098110890","95288092060","51175130"
"048770","TPC","KOSDAQ","벤처기업부","1967","-53","-2.62","2010","2010","1965","37206","73585799","30877948297","15697991"
"246690","TS인베스트먼트","KOSDAQ","중견기업부","1407","9","0.64","1400","1430","1382","162379","229708373","58359351834","41477862"
"317240","TS트릴리온","KOSDAQ","벤처기업부","222","-4","-1.77","226","229","220","1012994","224469780","23807484684","107240922"
"002900","TYM","KOSPI",,"5930","80","1.37","5840","5970","5760","399866","2350498710","267152169080","45050956"
"024070","WISCOM","KOSPI",,"1967","29","1.50","1939","1978","1938","1772","3488178","30147103546","15326438"
"057030","YBM넷","KOSDAQ","중견기업부","3260","-15","-0.46","3250","3300","3250","17027","55518395","53179392220","16312697"
"037270","YG PLUS","KOSPI",,"8850","-480","-5.14","9200","9320","8790","2389321","21395644905","562962306000","63611560"
"040300","YTN","KOSDAQ","중견기업부","2830","-35","-1.22","2855","2865","2820","160675","455957640","134925853400","47676980"
"051390","YW","KOSDAQ","중견기업부","3825","-10","-0.26","3825","3830","3820","2419","9243190","43434282600","11355368"
"052220","iMBC","KOSDAQ","중견기업부","3790","-70","-1.81","3820","3900","3750","1139582","4363634993","87170000000","23000000"
"139130","iM금융지주","KOSPI",,"13920","60","0.43","13860","14070","13770","281138","3918007860","2255800950720","162054666"
"079940","가비아","KOSDAQ","우량기업부","24650","150","0.61","24750","25100","24500","37492","928819750","333654610600","13535684"
"078890","가온그룹","KOSDAQ","중견기업부","3540","-5","-0.14","3545","3595","3505","49823","177040025","63885926880","18046872"
"000500","가온전선","KOSPI",,"60800","0","0.00","61200","61200","60300","17046","1035885100","1005821392000","16543115"
"399720","가온칩스","KOSDAQ","우량기업부","44700","1150","2.64","43550","44750","42900","39417","1735000850","518538774000","11600420"
"296520","가이아코퍼레이션","KONEX","일반기업부","1003","0","0.00","0","0","0","0","0","4681009024","4667008"
"036620","감성코퍼레이션","KOSDAQ","우량기업부","5660","-140","-2.41","5820","5900","5350","2094672","11716676135","512251343860","90503771"
"000860","강남제비스코","KOSPI",,"11680","-150","-1.27","11800","11910","11500","20469","238991030","151840000000","13000000"
"198440","강동씨앤엘","KOSDAQ","중견기업부","1292","-23","-1.75","1321","1321","1279","36197","46793578","78724009632","60931896"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","1309","0","0.00","1309","1334","1288","240244","314125666","73374881041","56054149"
"035250","강원랜드","KOSPI",,"18130","-80","-0.44","18250","18310","18010","262302","4753603570","3878741265000","213940500"
"114190","강원에너지","KOSDAQ","우량기업부","12080","30","0.25","12380","12450","12060","568363","6949930690","315566299040","26123038"
"094480","갤럭시아머니트리","KOSDAQ","중견기업부","10330","-240","-2.27","10810","10810","10300","413692","4323272565","405244226540","39229838"
"011420","갤럭시아에스엠","KOSPI",,"2305","-70","-2.95","2375","2385","2280","171398","396049530","63501929420","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","3010","-15","-0.50","3000","3040","2975","115800","347769327","81208608040","26979604"
"053950","경남제약","KOSDAQ","중견기업부","622","-4","-0.64","626","630","617","186512","115893839","48607656676","78147358"
"002100","경농","KOSPI",,"9690","10","0.10","9690","9710","9630","6842","66258010","189173751750","19522575"
"009450","경동나비엔","KOSPI",,"77200","600","0.78","77400","78600","76400","48686","3773382350","1124695302400","14568592"
"267290","경동도시가스","KOSPI",,"19840","-140","-0.70","19980","20100","19810","23866","475337200","116964855040","5895406"
"012320","경동인베스트","KOSPI",,"58500","0","0.00","58200","58700","57800","4144","241143000","138353845500","2365023"
"011040","경동제약","KOSDAQ","중견기업부","5910","-40","-0.67","6010","6120","5910","498720","2991532075","181843407060","30768766"
